Model,RMSE,R2
BoW Avg,0.8322192519424273,0.040291220639034675
TF-IDF Avg,0.8309602144920194,0.04319284851163685
Word2Vec Avg,0.8503305543620983,-0.0019349368007830492
Google Word2Vec Avg,0.8504060001440489,-0.0021127385223169703
TextBlob Sentiment,0.8253004474639026,0.056182311388273454
LDA Topic Distribution,0.7924860235940109,0.1297437026104914
