Model,RMSE,R2
BoW Avg,0.8348818247944458,0.03414048044573925
TF-IDF Avg,0.8250541813875067,0.05674548956569403
Word2Vec Avg,0.854753184492884,-0.01238431105877158
Google Word2Vec Avg,0.8599931839292709,-0.024835048741291832
TextBlob Sentiment,0.8166153486662209,0.07594243219831187
LDA Topic Distribution,0.7541129163854761,0.2119809615702386
